Graph addvar/addexpr lines
2 100001
x soma.v( 0.5 ) dend[310].v( 0.5 )
8.125	-53.2819	-53.6356
8.15	-53.2427	-53.5979
8.175	-53.2033	-53.56
8.2	-53.1636	-53.5218
8.225	-53.1237	-53.4835
8.25	-53.0835	-53.4449
8.275	-53.043	-53.406
8.3	-53.0023	-53.367
8.325	-52.9612	-53.3276
8.35	-52.9199	-53.288
8.375	-52.8782	-53.2482
8.4	-52.8362	-53.208
8.425	-52.7939	-53.1676
8.45	-52.7513	-53.1268
8.475	-52.7083	-53.0858
8.5	-52.6649	-53.0444
8.525	-52.6212	-53.0027
8.55	-52.577	-52.9607
8.575	-52.5325	-52.9183
8.6	-52.4875	-52.8755
8.625	-52.4422	-52.8324
8.65	-52.3963	-52.7888
8.675	-52.35	-52.7449
8.7	-52.3032	-52.7006
8.725	-52.2559	-52.6558
8.75	-52.2081	-52.6105
8.775	-52.1598	-52.5648
8.8	-52.1109	-52.5186
8.825	-52.0615	-52.472
8.85	-52.0114	-52.4248
8.875	-51.9607	-52.377
8.9	-51.9094	-52.3288
8.925	-51.8574	-52.2799
8.95	-51.8047	-52.2304
8.975	-51.7513	-52.1803
9	-51.6972	-52.1296
9.025	-51.6423	-52.0782
9.05	-51.5865	-52.0261
9.075	-51.5299	-51.9733
9.1	-51.4724	-51.9197
9.125	-51.414	-51.8653
9.15	-51.3546	-51.8101
9.175	-51.2942	-51.7541
9.2	-51.2328	-51.6971
9.225	-51.1703	-51.6393
9.25	-51.1066	-51.5804
9.275	-51.0417	-51.5205
9.3	-50.9755	-51.4596
9.325	-50.908	-51.3976
9.35	-50.8391	-51.3343
9.375	-50.7687	-51.2699
9.4	-50.6968	-51.2042
9.425	-50.6232	-51.1371
9.45	-50.5479	-51.0686
9.475	-50.4708	-50.9985
9.5	-50.3918	-50.927
9.525	-50.3107	-50.8537
9.55	-50.2275	-50.7787
9.575	-50.1419	-50.7018
9.6	-50.0539	-50.6229
9.625	-49.9633	-50.542
9.65	-49.87	-50.4588
9.675	-49.7736	-50.3732
9.7	-49.674	-50.2851
9.725	-49.571	-50.1943
9.75	-49.4643	-50.1006
9.775	-49.3537	-50.0038
9.8	-49.2387	-49.9037
9.825	-49.119	-49.8
9.85	-48.9943	-49.6924
9.875	-48.8639	-49.5806
9.9	-48.7275	-49.4643
9.925	-48.5844	-49.3429
9.95	-48.4339	-49.2162
9.975	-48.2752	-49.0834
10	-48.1073	-48.9441
10.025	-47.9292	-48.7975
10.05	-47.7396	-48.6428
10.075	-47.5368	-48.4791
10.1	-47.3191	-48.3052
10.125	-47.0841	-48.1197
10.15	-46.8291	-47.9211
10.175	-46.5506	-47.7074
10.2	-46.2441	-47.4761
10.225	-45.9041	-47.2242
10.25	-45.5229	-46.9479
10.275	-45.0908	-46.6421
10.3	-44.5941	-46.3002
10.325	-44.0135	-45.9135
10.35	-43.321	-45.4693
10.375	-42.4746	-44.95
10.4	-41.4079	-44.3289
10.425	-40.0133	-43.565
10.45	-38.1089	-42.592
10.475	-35.3886	-41.3008
10.5	-31.3907	-39.5179
10.525	-25.7054	-37.0183
10.55	-18.6997	-33.6553
10.575	-11.6934	-29.5239
10.6	-5.73327	-24.9201
10.625	-1.04017	-20.1783
10.65	2.58176	-15.567
10.675	5.38988	-11.2622
10.7	7.59134	-7.35993
10.725	9.3339	-3.89822
10.75	10.7198	-0.877351
10.775	11.8204	1.72445
10.8	12.6865	3.94031
10.825	13.356	5.80787
10.85	13.8576	7.36516
10.875	14.2141	8.64825
10.9	14.4438	9.69017
10.925	14.5617	10.5204
10.95	14.5803	11.1649
10.975	14.5101	11.6461
11	14.3598	11.9837
11.025	14.1372	12.1944
11.05	13.8489	12.2926
11.075	13.5005	12.2907
11.1	13.0972	12.1996
11.125	12.6435	12.0282
11.15	12.1436	11.7848
11.175	11.6012	11.4763
11.2	11.0197	11.1088
11.225	10.4024	10.6877
11.25	9.7522	10.218
11.275	9.07203	9.70386
11.3	8.36452	9.14934
11.325	7.63222	8.55802
11.35	6.87753	7.9332
11.375	6.10277	7.27796
11.4	5.31015	6.59514
11.425	4.50177	5.88741
11.45	3.67965	5.15731
11.475	2.84572	4.40719
11.5	2.00184	3.63931
11.525	1.14975	2.85579
11.55	0.29114	2.05866
11.575	-0.572394	1.24984
11.6	-1.43934	0.431154
11.625	-2.30825	-0.395659
11.65	-3.17778	-1.22895
11.675	-4.04664	-2.06716
11.7	-4.91364	-2.90881
11.725	-5.77766	-3.7525
11.75	-6.63763	-4.59692
11.775	-7.49259	-5.44081
11.8	-8.34165	-6.28302
11.825	-9.18397	-7.12246
11.85	-10.0188	-7.95811
11.875	-10.8454	-8.78905
11.9	-11.6633	-9.61438
11.925	-12.4717	-10.4333
11.95	-13.2704	-11.2451
11.975	-14.0587	-12.0492
12	-14.8363	-12.8448
12.025	-15.603	-13.6315
12.05	-16.3584	-14.4088
12.075	-17.1023	-15.1762
12.1	-17.8346	-15.9335
12.125	-18.555	-16.6802
12.15	-19.2635	-17.416
12.175	-19.96	-18.1409
12.2	-20.6445	-18.8546
12.225	-21.317	-19.5569
12.25	-21.9775	-20.2477
12.275	-22.626	-20.927
12.3	-23.2626	-21.5947
12.325	-23.8873	-22.2508
12.35	-24.5004	-22.8953
12.375	-25.1018	-23.5282
12.4	-25.6916	-24.1496
12.425	-26.2701	-24.7596
12.45	-26.8374	-25.3581
12.475	-27.3935	-25.9454
12.5	-27.9386	-26.5215
12.525	-28.4729	-27.0865
12.55	-28.9965	-27.6406
12.575	-29.5096	-28.1839
12.6	-30.0123	-28.7164
12.625	-30.5048	-29.2384
12.65	-30.9872	-29.75
12.675	-31.4597	-30.2514
12.7	-31.9225	-30.7426
12.725	-32.3756	-31.2238
12.75	-32.8193	-31.6952
12.775	-33.2537	-32.157
12.8	-33.6789	-32.6092
12.825	-34.0952	-33.052
12.85	-34.5026	-33.4856
12.875	-34.9012	-33.9101
12.9	-35.2914	-34.3257
12.925	-35.6731	-34.7325
12.95	-36.0466	-35.1306
12.975	-36.412	-35.5202
13	-36.7694	-35.9015
13.025	-37.119	-36.2746
13.05	-37.4609	-36.6396
13.075	-37.7952	-36.9967
13.1	-38.1222	-37.346
13.125	-38.4419	-37.6877
13.15	-38.7545	-38.0219
13.175	-39.0601	-38.3487
13.2	-39.3589	-38.6683
13.225	-39.6509	-38.9808
13.25	-39.9364	-39.2863
13.275	-40.2155	-39.5851
13.3	-40.4882	-39.8771
13.325	-40.7547	-40.1626
13.35	-41.0152	-40.4417
13.375	-41.2698	-40.7145
13.4	-41.5186	-40.9811
13.425	-41.7617	-41.2417
13.45	-41.9992	-41.4964
13.475	-42.2313	-41.7452
13.5	-42.4581	-41.9885
13.525	-42.6797	-42.2261
13.55	-42.8962	-42.4584
13.575	-43.1078	-42.6854
13.6	-43.3145	-42.9071
13.625	-43.5164	-43.1238
13.65	-43.7137	-43.3355
13.675	-43.9065	-43.5424
13.7	-44.0949	-43.7445
13.725	-44.2789	-43.9421
13.75	-44.4588	-44.135
13.775	-44.6345	-44.3236
13.8	-44.8062	-44.5078
13.825	-44.9739	-44.6878
13.85	-45.1378	-44.8637
13.875	-45.298	-45.0355
13.9	-45.4545	-45.2035
13.925	-45.6075	-45.3675
13.95	-45.7569	-45.5279
13.975	-45.903	-45.6845
14	-46.0457	-45.8376
14.025	-46.1852	-45.9873
14.05	-46.3216	-46.1335
14.075	-46.4549	-46.2763
14.1	-46.5851	-46.416
14.125	-46.7124	-46.5524
14.15	-46.8369	-46.6858
14.175	-46.9586	-46.8162
14.2	-47.0775	-46.9436
14.225	-47.1938	-47.0682
14.25	-47.3075	-47.1899
14.275	-47.4186	-47.309
14.3	-47.5273	-47.4253
14.325	-47.6336	-47.5391
14.35	-47.7375	-47.6503
14.375	-47.8391	-47.7591
14.4	-47.9385	-47.8654
14.425	-48.0357	-47.9694
14.45	-48.1308	-48.0711
14.475	-48.2238	-48.1705
14.5	-48.3148	-48.2677
14.525	-48.4038	-48.3629
14.55	-48.4909	-48.4559
14.575	-48.5761	-48.5469
14.6	-48.6594	-48.6359
14.625	-48.741	-48.723
14.65	-48.8208	-48.8082
14.675	-48.8989	-48.8915
14.7	-48.9753	-48.9731
14.725	-49.0501	-49.0528
14.75	-49.1233	-49.1309
14.775	-49.195	-49.2074
14.8	-49.2651	-49.2821
14.825	-49.3338	-49.3553
14.85	-49.4011	-49.427
14.875	-49.4669	-49.4971
14.9	-49.5314	-49.5658
14.925	-49.5945	-49.633
14.95	-49.6563	-49.6988
14.975	-49.7169	-49.7632
15	-49.7762	-49.8263
15.025	-49.8343	-49.8881
15.05	-49.8912	-49.9485
15.075	-49.9469	-50.0078
15.1	-50.0015	-50.0658
15.125	-50.055	-50.1227
15.15	-50.1075	-50.1783
15.175	-50.1588	-50.2329
15.2	-50.2092	-50.2863
15.225	-50.2585	-50.3387
15.25	-50.3069	-50.39
15.275	-50.3542	-50.4402
15.3	-50.4007	-50.4895
15.325	-50.4462	-50.5378
15.35	-50.4909	-50.5851
15.375	-50.5347	-50.6315
15.4	-50.5776	-50.6769
15.425	-50.6197	-50.7215
15.45	-50.6609	-50.7652
15.475	-50.7014	-50.808
15.5	-50.7411	-50.85
15.525	-50.78	-50.8912
15.55	-50.8182	-50.9316
15.575	-50.8557	-50.9712
15.6	-50.8925	-51.01
15.625	-50.9285	-51.0481
15.65	-50.9639	-51.0855
15.675	-50.9986	-51.1222
15.7	-51.0327	-51.1582
15.725	-51.0661	-51.1934
15.75	-51.0989	-51.2281
15.775	-51.1311	-51.262
15.8	-51.1627	-51.2954
15.825	-51.1938	-51.3281
15.85	-51.2242	-51.3602
15.875	-51.2542	-51.3917
15.9	-51.2835	-51.4227
15.925	-51.3124	-51.453
15.95	-51.3407	-51.4829
15.975	-51.3685	-51.5121
16	-51.3958	-51.5409
16.025	-51.4226	-51.5691
16.05	-51.449	-51.5968
16.075	-51.4749	-51.624
16.1	-51.5003	-51.6507
16.125	-51.5253	-51.677
16.15	-51.5498	-51.7028
16.175	-51.5739	-51.7281
16.2	-51.5976	-51.753
16.225	-51.6209	-51.7774
16.25	-51.6438	-51.8015
16.275	-51.6663	-51.8251
16.3	-51.6884	-51.8483
16.325	-51.7101	-51.871
16.35	-51.7315	-51.8934
16.375	-51.7525	-51.9155
16.4	-51.7731	-51.9371
16.425	-51.7934	-51.9584
16.45	-51.8134	-51.9793
16.475	-51.833	-51.9998
16.5	-51.8523	-52.02
16.525	-51.8713	-52.0399
16.55	-51.8899	-52.0594
16.575	-51.9083	-52.0786
16.6	-51.9264	-52.0975
16.625	-51.9441	-52.1161
16.65	-51.9616	-52.1344
16.675	-51.9788	-52.1523
16.7	-51.9957	-52.17
16.725	-52.0124	-52.1874
16.75	-52.0287	-52.2045
16.775	-52.0448	-52.2213
16.8	-52.0607	-52.2379
16.825	-52.0763	-52.2542
16.85	-52.0917	-52.2702
16.875	-52.1068	-52.286
16.9	-52.1217	-52.3015
16.925	-52.1363	-52.3168
16.95	-52.1507	-52.3318
16.975	-52.1649	-52.3466
17	-52.1789	-52.3612
17.025	-52.1927	-52.3755
